ID1,ID2,total_ibd_length,proportion_ibd
AG0006-C_coluzzii,AG0019-C_coluzzii,606237,0.011395285820009381
AG0006-C_coluzzii,AG0310-C_coluzzii,879967,0.01654052041887281
AG0006-C_coluzzii,AG0362-C_coluzzii,622626,0.011703345769013045
AG0019-C_coluzzii,AG0043-C_coluzzii,422844,0.007948093298950819
AG0043-C_coluzzii,AG0286-C_coluzzii,630771,0.011856445304349846
AG0043-C_coluzzii,AG0371-C_coluzzii,1709214,0.03212766963672873
AG0082-C_bissau,AG0111-C_bissau,1496821,0.02813537134221808
AG0082-C_bissau,AG0197-C_bissau,530382,0.009969458287416005
AG0082-C_bissau,AG0203-C_bissau,1767023,0.033214291004228444
AG0082-C_bissau,AG0204-C_bissau,2004817,0.037684045566030694
AG0082-C_bissau,AG0442-CW_bissau,2626930,0.04937774860187888
AG0082-C_bissau,AG0446-CW_bissau,1119770,0.021048037653049724
AG0082-C_bissau,AG0450-CW_bissau,1450405,0.027262901356681805
AG0085-C_bissau,AG0082-C_bissau,592401,0.011135213975820311
AG0085-C_bissau,AG0111-C_bissau,1006715,0.018922970990372982
AG0085-C_bissau,AG0124-C_bissau,1211712,0.02277624851590254
AG0085-C_bissau,AG0127-C_bissau,1567260,0.02945939567243158
AG0085-C_bissau,AG0144-C_bissau,607767,0.011424044848746682
AG0085-C_bissau,AG0152-C_bissau,506750,0.00952525347230498
AG0085-C_bissau,AG0156-C_bissau,1251180,0.02351811867682002
AG0085-C_bissau,AG0169-C_bissau,791469,0.014877045565805132
AG0085-C_bissau,AG0197-C_bissau,3404332,0.06399038027405814
AG0085-C_bissau,AG0203-C_bissau,406137,0.00763405598318999
AG0085-C_bissau,AG0204-C_bissau,3008225,0.056544855701479324
AG0085-C_bissau,AG0214-C_bissau,799425,0.01502659251523909
AG0085-C_bissau,AG0221-C_bissau,592401,0.011135213975820311
AG0085-C_bissau,AG0226-C_bissau,1176927,0.022122403539022166
AG0085-C_bissau,AG0442-CW_bissau,3446389,0.06478091522281931
AG0085-C_bissau,AG0454-CW_bissau,3159059,0.059380044812957666
AG0102-C_bissau,AG0123-C_bissau,813664,0.015294239450004065
AG0102-C_bissau,AG0124-C_bissau,4198927,0.07892618448289124
AG0102-C_bissau,AG0127-C_bissau,1199816,0.022552642368282333
AG0102-C_bissau,AG0152-C_bissau,1682102,0.031618052128803455
AG0102-C_bissau,AG0156-C_bissau,5289100,0.09941789470225608
AG0102-C_bissau,AG0162-C_bissau,1199956,0.02255527391339555
AG0102-C_bissau,AG0170-C_bissau,813664,0.015294239450004065
AG0102-C_bissau,AG0183-C_bissau,519442,0.009763821833568907
AG0102-C_bissau,AG0197-C_bissau,1847328,0.0347237640779205
AG0102-C_bissau,AG0203-C_bissau,813664,0.015294239450004065
AG0102-C_bissau,AG0204-C_bissau,663190,0.012465817168816852
AG0102-C_bissau,AG0214-C_bissau,3383021,0.06358980271757408
AG0102-C_bissau,AG0221-C_bissau,536484,0.010084156060850646
AG0102-C_bissau,AG0442-CW_bissau,382586,0.007191373704894471
AG0102-C_bissau,AG0446-CW_bissau,3158143,0.0593628269892169
AG0102-C_bissau,AG0450-CW_bissau,1684649,0.031665927453113196
AG0106-C_bissau,AG0082-C_bissau,1134205,0.021319368750973202
AG0106-C_bissau,AG0108-C_bissau,3244914,0.060993839853637974
AG0106-C_bissau,AG0118-C_bissau,2321527,0.04363716451465173
AG0106-C_bissau,AG0121-C_bissau,2178679,0.04095208625513161
AG0106-C_bissau,AG0124-C_bissau,1076083,0.02022686400047037
AG0106-C_bissau,AG0127-C_bissau,518427,0.009744743131498083
AG0106-C_bissau,AG0128-C_bissau,2208089,0.04150489869641526
AG0106-C_bissau,AG0138-C_bissau,1523997,0.02864619184219511
AG0106-C_bissau,AG0145-C_bissau,1193698,0.022437643846834752
AG0106-C_bissau,AG0169-C_bissau,769323,0.014460772722395826
AG0106-C_bissau,AG0170-C_bissau,471969,0.008871483682427843
AG0106-C_bissau,AG0178-C_bissau,3724374,0.07000612999637373
AG0106-C_bissau,AG0197-C_bissau,1645764,0.030935015797917183
AG0106-C_bissau,AG0203-C_bissau,2496319,0.04692268618200473
AG0106-C_bissau,AG0204-C_bissau,720400,0.013541179282582156
AG0106-C_bissau,AG0214-C_bissau,1213732,0.0228142179525361
AG0106-C_bissau,AG0221-C_bissau,16402759,0.30831857349804
AG0106-C_bissau,AG0226-C_bissau,511868,0.009621455242943869
AG0106-C_bissau,AG0442-CW_bissau,1172662,0.022042235396823092
AG0106-C_bissau,AG0446-CW_bissau,582756,0.01095391931427047
AG0106-C_bissau,AG0450-CW_bissau,518427,0.009744743131498083
AG0106-C_bissau,AG0454-CW_bissau,599043,0.011260061994691647
AG0108-C_bissau,AG0085-C_bissau,563166,0.010585690965928183
AG0108-C_bissau,AG0123-C_bissau,1141428,0.02145513768206439
AG0108-C_bissau,AG0124-C_bissau,1818352,0.03417910942648782
AG0108-C_bissau,AG0127-C_bissau,946389,0.01778903820108779
AG0108-C_bissau,AG0128-C_bissau,2291216,0.04306741620088945
AG0108-C_bissau,AG0144-C_bissau,623708,0.01172368385338805
AG0108-C_bissau,AG0152-C_bissau,930464,0.017489699944459362
AG0108-C_bissau,AG0162-C_bissau,1019526,0.019163776164983142
AG0108-C_bissau,AG0169-C_bissau,2376038,0.04466179419798437
AG0108-C_bissau,AG0183-C_bissau,4686114,0.08808371711912576
AG0108-C_bissau,AG0197-C_bissau,1880195,0.0353415568867498
AG0108-C_bissau,AG0203-C_bissau,2187864,0.04112473441130945
AG0108-C_bissau,AG0204-C_bissau,1099921,0.020674940946247986
AG0108-C_bissau,AG0214-C_bissau,1214357,0.022825965921791532
AG0108-C_bissau,AG0221-C_bissau,334408,0.006285783844433278
