sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,quarter,study_id,study_url,terms_of_use_expiry_date,terms_of_use_url,unrestricted_use,mean_cov,median_cov,modal_cov,mean_cov_2L,median_cov_2L,mode_cov_2L,mean_cov_2R,median_cov_2R,mode_cov_2R,mean_cov_3L,median_cov_3L,mode_cov_3L,mean_cov_3R,median_cov_3R,mode_cov_3R,mean_cov_X,median_cov_X,mode_cov_X,frac_gen_cov,divergence,contam_pct,contam_LLR,aim_species_fraction_arab,aim_species_fraction_colu,aim_species_fraction_colu_no2l,aim_species_gambcolu_arabiensis,aim_species_gambiae_coluzzii,aim_species,country_iso,admin1_name,admin1_iso,admin2_name,taxon,cohort_admin1_year,cohort_admin1_month,cohort_admin1_quarter,cohort_admin2_year,cohort_admin2_month,cohort_admin2_quarter,pop
VBS47803-6366STDY9854408,E1033,Kevin Opondo,"Gambia, The",Kossemar,2019,9,13.331,-14.376,F,1272-VO-GM-OPONDO-VMF00160,3.5,3,1272-VO-GM-OPONDO,https://www.malariagen.net/partner_study/1272-VO-GM-OPONDO,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.5.html#terms-of-use,False,28.41,28,29,28.25,28,29,29.01,29,30,27.18,27,28,27.76,28,28,30.71,29,29,0.947,0.01966,1.124,953.795,0.0005751533742331,0.8670977011494253,0.9188741721854304,gambcolu,coluzzii,coluzzii,GMB,Basse,GM-U,Jimara,coluzzii,GM-U_colu_2019,GM-U_colu_2019_09,GM-U_colu_2019_Q3,GM-U_Jimara_colu_2019,GM-U_Jimara_colu_2019_09,GM-U_Jimara_colu_2019_Q3,VBS47803-6366STDY9854408_coluzzii
VBS78241-7065STDY13143896,1323_1119,Alfred Amambua-Ngwa,"Gambia, The",Palang Fula,2019,10,13.564,-14.773,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,33.84,34,35,34.2,34,35,33.95,34,35,33.31,34,35,33.33,34,35,34.82,34,34,0.946,0.02055,0.838,867.407,0.003,0.919,0.935,gambcolu,coluzzii,coluzzii,GMB,Kuntaur,GM-M,Sami,coluzzii,GM-M_colu_2019,GM-M_colu_2019_10,GM-M_colu_2019_Q4,GM-M_Sami_colu_2019,GM-M_Sami_colu_2019_10,GM-M_Sami_colu_2019_Q4,VBS78241-7065STDY13143896_coluzzii
VBS78950-7065STDY13144625,1323_1835,Alfred Amambua-Ngwa,"Gambia, The",Sitahuma,2019,10,13.611,-14.837,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,36.36,36,37,36.64,37,37,35.94,36,37,35.61,36,37,35.96,36,37,38.99,37,37,0.949,0.01956,0.258,131.098,0.002,0.946,0.94,gambcolu,coluzzii,coluzzii,GMB,Kuntaur,GM-M,Niani,coluzzii,GM-M_colu_2019,GM-M_colu_2019_10,GM-M_colu_2019_Q4,GM-M_Niani_colu_2019,GM-M_Niani_colu_2019_10,GM-M_Niani_colu_2019_Q4,VBS78950-7065STDY13144625_coluzzii
AG0043-C,I-290,Charles Godfray,"Gambia, The",Wali Kunda,2012,10,13.567,-14.917,F,AG1000G-GM-C,3.0,4,AG1000G-GM-3,https://www.malariagen.net/partner_study/AG1000G-GM-3,2025-01-01,https://www.malariagen.net/data/our-approach-sharing-data/ag1000g-terms-of-use/,True,33.62,33,34,33.76,34,34,33.36,33,34,33.33,34,34,33.34,34,34,35.12,33,33,0.94,0.02,0.638,598.377,0.0009593246354566,0.91816223977028,0.9083402146985962,gambcolu,coluzzii,coluzzii,GMB,Janjanbureh,GM-M,Lower Fuladu West,coluzzii,GM-M_colu_2012,GM-M_colu_2012_10,GM-M_colu_2012_Q4,GM-M_Lower-Fuladu-West_colu_2012,GM-M_Lower-Fuladu-West_colu_2012_10,GM-M_Lower-Fuladu-West_colu_2012_Q4,AG0043-C_coluzzii
AG0312-C,I-14,Charles Godfray,"Gambia, The",Wali Kunda,2012,10,13.567,-14.917,F,AG1000G-GM-C,3.0,4,AG1000G-GM-3,https://www.malariagen.net/partner_study/AG1000G-GM-3,2025-01-01,https://www.malariagen.net/data/our-approach-sharing-data/ag1000g-terms-of-use/,True,24.37,24,24,24.39,24,24,24.02,24,24,24.18,24,24,24.31,24,24,25.7,24,24,0.944,0.019,0.669,386.209,0.0021064726158559,0.8504672897196262,0.9171499585749792,gambcolu,coluzzii,coluzzii,GMB,Janjanbureh,GM-M,Lower Fuladu West,coluzzii,GM-M_colu_2012,GM-M_colu_2012_10,GM-M_colu_2012_Q4,GM-M_Lower-Fuladu-West_colu_2012,GM-M_Lower-Fuladu-West_colu_2012_10,GM-M_Lower-Fuladu-West_colu_2012_Q4,AG0312-C_coluzzii
AG0358-C,O-368,Charles Godfray,"Gambia, The",Wali Kunda,2012,10,13.567,-14.917,F,AG1000G-GM-C,3.0,4,AG1000G-GM-3,https://www.malariagen.net/partner_study/AG1000G-GM-3,2025-01-01,https://www.malariagen.net/data/our-approach-sharing-data/ag1000g-terms-of-use/,True,31.54,32,32,31.6,32,32,31.23,32,32,31.27,32,32,31.18,31,32,33.46,32,32,0.94,0.02,0.342,203.027,0.0023019374640322,0.914572864321608,0.9298100743187449,gambcolu,coluzzii,coluzzii,GMB,Janjanbureh,GM-M,Lower Fuladu West,coluzzii,GM-M_colu_2012,GM-M_colu_2012_10,GM-M_colu_2012_Q4,GM-M_Lower-Fuladu-West_colu_2012,GM-M_Lower-Fuladu-West_colu_2012_10,GM-M_Lower-Fuladu-West_colu_2012_Q4,AG0358-C_coluzzii
VBS78121-7065STDY13143771,1323_0997,Alfred Amambua-Ngwa,"Gambia, The",Jafai,2019,10,13.682,-15.088,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,33.97,34,35,34.13,34,35,33.89,34,35,33.56,34,35,33.51,34,35,35.53,34,34,0.947,0.01962,0.602,571.046,0.002,0.908,0.951,gambcolu,coluzzii,coluzzii,GMB,Janjanbureh,GM-M,Niamina East,coluzzii,GM-M_colu_2019,GM-M_colu_2019_10,GM-M_colu_2019_Q4,GM-M_Niamina-East_colu_2019,GM-M_Niamina-East_colu_2019_10,GM-M_Niamina-East_colu_2019_Q4,VBS78121-7065STDY13143771_coluzzii
VBS78029-7065STDY13143676,1323_0890,Alfred Amambua-Ngwa,"Gambia, The",Chamoi,2019,10,13.316,-14.166,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,30.54,31,31,30.76,31,31,30.43,31,31,29.88,30,31,30.13,30,31,32.33,31,31,0.948,0.01959,0.439,222.089,0.001,0.906,0.895,gambcolu,intermediate,intermediate_gambiae_coluzzii,GMB,Basse,GM-U,Tumana,coluzzii,GM-U_colu_2019,GM-U_colu_2019_10,GM-U_colu_2019_Q4,GM-U_Tumana_colu_2019,GM-U_Tumana_colu_2019_10,GM-U_Tumana_colu_2019_Q4,VBS78029-7065STDY13143676_coluzzii
VBS77408-7065STDY13143023,1323_0116,Alfred Amambua-Ngwa,"Gambia, The",Chamoi,2019,8,13.316,-14.166,F,1323-VO-GM-NGWA-VMF00242,3.9,3,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,37.94,38,39,38.2,39,39,37.76,38,39,37.35,38,39,37.67,38,39,39.45,38,38,0.947,0.02058,0.45,308.545,0.002,0.936,0.928,gambcolu,coluzzii,coluzzii,GMB,Basse,GM-U,Tumana,coluzzii,GM-U_colu_2019,GM-U_colu_2019_08,GM-U_colu_2019_Q3,GM-U_Tumana_colu_2019,GM-U_Tumana_colu_2019_08,GM-U_Tumana_colu_2019_Q3,VBS77408-7065STDY13143023_coluzzii
AG0376-C,I-460,Charles Godfray,"Gambia, The",Wali Kunda,2012,10,13.567,-14.917,F,AG1000G-GM-C,3.0,4,AG1000G-GM-3,https://www.malariagen.net/partner_study/AG1000G-GM-3,2025-01-01,https://www.malariagen.net/data/our-approach-sharing-data/ag1000g-terms-of-use/,True,31.9,32,32,31.95,32,32,31.46,32,32,31.58,32,32,31.9,32,32,33.47,32,32,0.941,0.02,1.212,1608.465,0.0007676069852235,0.8936781609195402,0.8791390728476821,gambcolu,intermediate,intermediate_gambiae_coluzzii,GMB,Janjanbureh,GM-M,Lower Fuladu West,coluzzii,GM-M_colu_2012,GM-M_colu_2012_10,GM-M_colu_2012_Q4,GM-M_Lower-Fuladu-West_colu_2012,GM-M_Lower-Fuladu-West_colu_2012_10,GM-M_Lower-Fuladu-West_colu_2012_Q4,AG0376-C_coluzzii
VBS77570-7065STDY13143190,1323_0373,Alfred Amambua-Ngwa,"Gambia, The",Palang Fula,2019,8,13.564,-14.773,F,1323-VO-GM-NGWA-VMF00242,3.9,3,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,31.31,31,32,31.63,32,32,31.18,31,32,30.71,31,32,31.15,31,32,32.35,31,31,0.946,0.02068,1.127,1316.439,0.004,0.963,0.959,gambcolu,coluzzii,coluzzii,GMB,Kuntaur,GM-M,Sami,coluzzii,GM-M_colu_2019,GM-M_colu_2019_08,GM-M_colu_2019_Q3,GM-M_Sami_colu_2019,GM-M_Sami_colu_2019_08,GM-M_Sami_colu_2019_Q3,VBS77570-7065STDY13143190_coluzzii
VBS69804-7065STDY13152239,161-1,Alfred Amambua-Ngwa,"Gambia, The",Kartong,2005,10,13.094,-16.761,F,1323-VO-GM-NGWA-VMF00235,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,32.25,33,33,32.42,33,33,32.2,33,33,31.71,32,33,31.93,32,33,33.66,32,32,0.946,0.02076,0.374,193.785,0.001,0.883,0.916,gambcolu,coluzzii,coluzzii,GMB,Brikama,GM-W,Kombo South,coluzzii,GM-W_colu_2005,GM-W_colu_2005_10,GM-W_colu_2005_Q4,GM-W_Kombo-South_colu_2005,GM-W_Kombo-South_colu_2005_10,GM-W_Kombo-South_colu_2005_Q4,VBS69804-7065STDY13152239_coluzzii
VBS78411-7065STDY13144069,1323_1291,Alfred Amambua-Ngwa,"Gambia, The",Sitahuma,2019,10,13.611,-14.837,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,40.59,41,42,40.77,41,42,40.27,41,42,40.15,41,42,40.35,41,42,42.29,41,41,0.95,0.01981,0.329,181.855,0.002,0.877,0.928,gambcolu,coluzzii,coluzzii,GMB,Kuntaur,GM-M,Niani,coluzzii,GM-M_colu_2019,GM-M_colu_2019_10,GM-M_colu_2019_Q4,GM-M_Niani_colu_2019,GM-M_Niani_colu_2019_10,GM-M_Niani_colu_2019_Q4,VBS78411-7065STDY13144069_coluzzii
VBS78482-7065STDY13144142,1323_1362,Alfred Amambua-Ngwa,"Gambia, The",Sitahuma,2019,10,13.611,-14.837,M,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,36.08,37,39,38.53,39,39,37.64,38,39,37.27,38,39,37.56,38,39,21.66,19,19,0.948,0.01871,0.314,190.764,0.003,0.909,0.93,gambcolu,coluzzii,coluzzii,GMB,Kuntaur,GM-M,Niani,coluzzii,GM-M_colu_2019,GM-M_colu_2019_10,GM-M_colu_2019_Q4,GM-M_Niani_colu_2019,GM-M_Niani_colu_2019_10,GM-M_Niani_colu_2019_Q4,VBS78482-7065STDY13144142_coluzzii
VBS77599-7065STDY13143221,1323_0403,Alfred Amambua-Ngwa,"Gambia, The",Palang Fula,2019,8,13.564,-14.773,F,1323-VO-GM-NGWA-VMF00242,3.9,3,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,35.15,36,36,35.45,36,36,35.0,36,36,34.62,35,36,34.85,35,36,36.49,35,35,0.946,0.02051,0.507,368.752,0.001,0.909,0.913,gambcolu,coluzzii,coluzzii,GMB,Kuntaur,GM-M,Sami,coluzzii,GM-M_colu_2019,GM-M_colu_2019_08,GM-M_colu_2019_Q3,GM-M_Sami_colu_2019,GM-M_Sami_colu_2019_08,GM-M_Sami_colu_2019_Q3,VBS77599-7065STDY13143221_coluzzii
AG0006-C,I-92,Charles Godfray,"Gambia, The",Wali Kunda,2012,10,13.567,-14.917,F,AG1000G-GM-C,3.0,4,AG1000G-GM-3,https://www.malariagen.net/partner_study/AG1000G-GM-3,2025-01-01,https://www.malariagen.net/data/our-approach-sharing-data/ag1000g-terms-of-use/,True,32.96,32,32,32.97,32,32,33.04,33,33,31.95,32,32,32.44,32,32,35.59,34,32,0.935,0.02,0.485,325.571,0.0021072796934865,0.9605734767025088,0.9562345169281584,gambcolu,coluzzii,coluzzii,GMB,Janjanbureh,GM-M,Lower Fuladu West,coluzzii,GM-M_colu_2012,GM-M_colu_2012_10,GM-M_colu_2012_Q4,GM-M_Lower-Fuladu-West_colu_2012,GM-M_Lower-Fuladu-West_colu_2012_10,GM-M_Lower-Fuladu-West_colu_2012_Q4,AG0006-C_coluzzii
VBS78475-7065STDY13144134,1323_1355,Alfred Amambua-Ngwa,"Gambia, The",Sitahuma,2019,10,13.611,-14.837,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,29.34,29,30,29.54,30,30,29.22,30,30,28.87,29,30,29.11,29,30,30.53,29,29,0.949,0.01977,1.525,2088.366,0.005,0.9,0.955,gambcolu,coluzzii,coluzzii,GMB,Kuntaur,GM-M,Niani,coluzzii,GM-M_colu_2019,GM-M_colu_2019_10,GM-M_colu_2019_Q4,GM-M_Niani_colu_2019,GM-M_Niani_colu_2019_10,GM-M_Niani_colu_2019_Q4,VBS78475-7065STDY13144134_coluzzii
VBS78724-7065STDY13144392,1323_1607,Alfred Amambua-Ngwa,"Gambia, The",Niawurulung,2019,10,13.733,-15.01,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,35.8,36,37,35.9,36,37,35.53,36,37,35.22,36,37,35.51,36,37,37.89,37,37,0.947,0.0207,0.396,257.766,0.001,0.92,0.935,gambcolu,coluzzii,coluzzii,GMB,Kuntaur,GM-M,Nianija,coluzzii,GM-M_colu_2019,GM-M_colu_2019_10,GM-M_colu_2019_Q4,GM-M_Nianija_colu_2019,GM-M_Nianija_colu_2019_10,GM-M_Nianija_colu_2019_Q4,VBS78724-7065STDY13144392_coluzzii
VBS77991-7065STDY13143637,1323_0852,Alfred Amambua-Ngwa,"Gambia, The",Chamoi,2019,10,13.316,-14.166,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,40.04,40,41,40.15,40,41,39.81,41,41,39.39,40,41,39.67,40,41,42.27,41,40,0.949,0.01954,0.491,432.636,0.001,0.881,0.945,gambcolu,coluzzii,coluzzii,GMB,Basse,GM-U,Tumana,coluzzii,GM-U_colu_2019,GM-U_colu_2019_10,GM-U_colu_2019_Q4,GM-U_Tumana_colu_2019,GM-U_Tumana_colu_2019_10,GM-U_Tumana_colu_2019_Q4,VBS77991-7065STDY13143637_coluzzii
VBS78790-7065STDY13144460,1323_1674,Alfred Amambua-Ngwa,"Gambia, The",Sitahuma,2019,10,13.611,-14.837,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,30.43,30,31,30.56,31,31,30.24,30,31,29.92,30,31,30.12,30,31,32.18,31,31,0.949,0.01946,0.41,256.795,0.001,0.896,0.953,gambcolu,coluzzii,coluzzii,GMB,Kuntaur,GM-M,Niani,coluzzii,GM-M_colu_2019,GM-M_colu_2019_10,GM-M_colu_2019_Q4,GM-M_Niani_colu_2019,GM-M_Niani_colu_2019_10,GM-M_Niani_colu_2019_Q4,VBS78790-7065STDY13144460_coluzzii
VBS48092-6366STDY9854692,E3931,Kevin Opondo,"Gambia, The",Gambisara,2019,9,13.236,-14.31,F,1272-VO-GM-OPONDO-VMF00160,3.5,3,1272-VO-GM-OPONDO,https://www.malariagen.net/partner_study/1272-VO-GM-OPONDO,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.5.html#terms-of-use,False,15.58,15,14,15.45,15,14,15.66,15,15,14.99,14,14,15.19,14,14,17.5,16,14,0.939,0.02059,1.269,546.311,0.0036517393811262,0.907725321888412,0.9383223684210528,gambcolu,coluzzii,coluzzii,GMB,Basse,GM-U,Jimara,coluzzii,GM-U_colu_2019,GM-U_colu_2019_09,GM-U_colu_2019_Q3,GM-U_Jimara_colu_2019,GM-U_Jimara_colu_2019_09,GM-U_Jimara_colu_2019_Q3,VBS48092-6366STDY9854692_coluzzii
VBS78119-7065STDY13143769,1323_0995,Alfred Amambua-Ngwa,"Gambia, The",Jafai,2019,10,13.682,-15.088,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,29.76,30,30,29.91,30,30,29.63,30,30,29.34,30,30,29.49,30,30,31.07,30,30,0.944,0.02076,1.122,1240.978,0.002,0.926,0.949,gambcolu,coluzzii,coluzzii,GMB,Janjanbureh,GM-M,Niamina East,coluzzii,GM-M_colu_2019,GM-M_colu_2019_10,GM-M_colu_2019_Q4,GM-M_Niamina-East_colu_2019,GM-M_Niamina-East_colu_2019_10,GM-M_Niamina-East_colu_2019_Q4,VBS78119-7065STDY13143769_coluzzii
VBS78881-7065STDY13144554,1323_1766,Alfred Amambua-Ngwa,"Gambia, The",Sitahuma,2019,10,13.611,-14.837,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,34.48,34,35,34.67,34,35,33.99,34,34,33.98,34,35,34.36,34,35,36.45,35,34,0.948,0.01967,0.502,414.648,0.002,0.888,0.942,gambcolu,coluzzii,coluzzii,GMB,Kuntaur,GM-M,Niani,coluzzii,GM-M_colu_2019,GM-M_colu_2019_10,GM-M_colu_2019_Q4,GM-M_Niani_colu_2019,GM-M_Niani_colu_2019_10,GM-M_Niani_colu_2019_Q4,VBS78881-7065STDY13144554_coluzzii
VBS78793-7065STDY13144463,1323_1677,Alfred Amambua-Ngwa,"Gambia, The",Sitahuma,2019,10,13.611,-14.837,F,1323-VO-GM-NGWA-VMF00242,3.9,4,1323-VO-GM-NGWA,https://www.malariagen.net/partner_study/1323-VO-GM-NGWA,2026-04-09,https://malariagen.github.io/vector-data/ag3/ag3.9.html#terms-of-use,False,34.71,35,36,34.9,35,35,34.49,35,36,34.11,35,35,34.26,35,35,36.92,35,35,0.948,0.01966,0.334,201.093,0.001,0.871,0.922,gambcolu,coluzzii,coluzzii,GMB,Kuntaur,GM-M,Niani,coluzzii,GM-M_colu_2019,GM-M_colu_2019_10,GM-M_colu_2019_Q4,GM-M_Niani_colu_2019,GM-M_Niani_colu_2019_10,GM-M_Niani_colu_2019_Q4,VBS78793-7065STDY13144463_coluzzii
VBS48111-6366STDY9854713,E3694,Kevin Opondo,"Gambia, The",Sare Demba,2019,10,13.433,-14.317,F,1272-VO-GM-OPONDO-VMF00160,3.5,4,1272-VO-GM-OPONDO,https://www.malariagen.net/partner_study/1272-VO-GM-OPONDO,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.5.html#terms-of-use,False,24.46,24,24,24.33,24,24,24.75,25,25,23.5,24,24,23.99,24,24,26.69,25,25,0.944,0.02042,1.239,923.186,0.003063373540111,0.8688172043010752,0.9299258037922506,gambcolu,coluzzii,coluzzii,GMB,Basse,GM-U,Sandu,coluzzii,GM-U_colu_2019,GM-U_colu_2019_10,GM-U_colu_2019_Q4,GM-U_Sandu_colu_2019,GM-U_Sandu_colu_2019_10,GM-U_Sandu_colu_2019_Q4,VBS48111-6366STDY9854713_coluzzii
