pos id distance(cM) cumulative(cM) rate(cM/Mb)
21193 sid2 0.000000 0.000000 1.00
66236 sid3 0.045043 0.045043 1.00
66780 sid4 0.000544 0.045587 1.00
71925 sid5 0.005145 0.050732 1.00
72118 sid6 0.000193 0.050925 1.00
72977 sid10 0.000859 0.051784 1.00
73209 sid11 0.000232 0.052016 1.00
73396 sid12 0.000187 0.052203 1.00
73587 sid13 0.000191 0.052394 1.00
73786 sid14 0.000199 0.052593 1.00
73986 sid15 0.000200 0.052793 1.00
74171 sid16 0.000185 0.052978 1.00
74442 sid17 0.000271 0.053249 1.00
75054 sid20 0.000612 0.053861 1.00
75288 sid21 0.000234 0.054095 1.00
75566 sid22 0.000278 0.054373 1.00
75770 sid23 0.000204 0.054577 1.00
75986 sid24 0.000216 0.054793 1.00
77482 sid25 0.001496 0.056289 1.00
78140 sid26 0.000658 0.056947 1.00
78561 sid27 0.000421 0.057368 1.00
79315 sid28 0.000754 0.058122 1.00
82154 sid31 0.002839 0.060961 1.00
103889 sid34 0.021735 0.082696 1.00
105398 sid35 0.001509 0.084205 1.00
106003 sid36 0.000605 0.084810 1.00
106182 sid37 0.000179 0.084989 1.00
106433 sid38 0.000251 0.085240 1.00
106648 sid39 0.000215 0.085455 1.00
106865 sid40 0.000217 0.085672 1.00
107496 sid42 0.000631 0.086303 1.00
107881 sid43 0.000385 0.086688 1.00
115174 sid47 0.007293 0.093981 1.00
115805 sid48 0.000631 0.094612 1.00
119113 sid50 0.003308 0.097920 1.00
122386 sid52 0.003273 0.101193 1.00
122897 sid53 0.000511 0.101704 1.00
123297 sid54 0.000400 0.102104 1.00
123804 sid55 0.000507 0.102611 1.00
124277 sid56 0.000473 0.103084 1.00
127045 sid58 0.002768 0.105852 1.00
129469 sid60 0.002424 0.108276 1.00
136307 sid61 0.006838 0.115114 1.00
139599 sid63 0.003292 0.118406 1.00
167342 sid65 0.027743 0.146149 1.00
168933 sid68 0.001591 0.147740 1.00
175418 sid71 0.006485 0.154225 1.00
178045 sid72 0.002627 0.156852 1.00
178342 sid73 0.000297 0.157149 1.00
187934 sid74 0.009592 0.166741 1.00
192845 sid76 0.004911 0.171652 1.00
239406 sid79 0.046561 0.218213 1.00
257588 sid80 0.018182 0.236395 1.00
272085 sid81 0.014497 0.250892 1.00
272512 sid82 0.000427 0.251319 1.00
293055 sid83 0.020543 0.271862 1.00
294511 sid85 0.001456 0.273318 1.00
297566 sid87 0.003055 0.276373 1.00
302196 sid89 0.004630 0.281003 1.00
303079 sid91 0.000883 0.281886 1.00
356202 sid98 0.053123 0.335009 1.00
360068 sid101 0.003866 0.338875 1.00
362051 sid102 0.001983 0.340858 1.00
362737 sid103 0.000686 0.341544 1.00
373069 sid105 0.010332 0.351876 1.00
374282 sid107 0.001213 0.353089 1.00
377159 sid108 0.002877 0.355966 1.00
378124 sid109 0.000965 0.356931 1.00
379166 sid110 0.001042 0.357973 1.00
380935 sid112 0.001769 0.359742 1.00
386478 sid113 0.005543 0.365285 1.00
387146 sid114 0.000668 0.365953 1.00
398633 sid119 0.011487 0.377440 1.00
398708 sid120 0.000075 0.377515 1.00
398943 sid121 0.000235 0.377750 1.00
416139 sid124 0.017196 0.394946 1.00
486359 sid125 0.070220 0.465166 1.00
488353 sid128 0.001994 0.467160 1.00
488848 sid129 0.000495 0.467655 1.00
518723 sid130 0.029875 0.497530 1.00
535424 sid131 0.016701 0.514231 1.00
539555 sid132 0.004131 0.518362 1.00
540916 sid133 0.001361 0.519723 1.00
542326 sid136 0.001410 0.521133 1.00
548143 sid137 0.005817 0.526950 1.00
557396 sid138 0.009253 0.536203 1.00
561296 sid140 0.003900 0.540103 1.00
561604 sid141 0.000308 0.540411 1.00
562025 sid142 0.000421 0.540832 1.00
563040 sid145 0.001015 0.541847 1.00
563398 sid146 0.000358 0.542205 1.00
642968 sid148 0.079570 0.621775 1.00
651012 sid151 0.008044 0.629819 1.00
654341 sid152 0.003329 0.633148 1.00
654840 sid153 0.000499 0.633647 1.00
656031 sid154 0.001191 0.634838 1.00
659430 sid155 0.003399 0.638237 1.00
659923 sid156 0.000493 0.638730 1.00
662141 sid157 0.002218 0.640948 1.00
669123 sid160 0.006982 0.647930 1.00
687198 sid164 0.018075 0.666005 1.00
687369 sid165 0.000171 0.666176 1.00
702060 sid169 0.014691 0.680867 1.00
730710 sid172 0.028650 0.709517 1.00
731533 sid173 0.000823 0.710340 1.00
738501 sid178 0.006968 0.717308 1.00
742447 sid181 0.003946 0.721254 1.00
746965 sid183 0.004518 0.725772 1.00
758004 sid185 0.011039 0.736811 1.00
758846 sid186 0.000842 0.737653 1.00
759744 sid188 0.000898 0.738551 1.00
760199 sid189 0.000455 0.739006 1.00
774203 sid191 0.014004 0.753010 1.00
780252 sid195 0.006049 0.759059 1.00
780574 sid196 0.000322 0.759381 1.00
788729 sid198 0.008155 0.767536 1.00
791028 sid200 0.002299 0.769835 1.00
798417 sid201 0.007389 0.777224 1.00
814522 sid205 0.016105 0.793329 1.00
828210 sid210 0.013688 0.807017 1.00
831840 sid211 0.003630 0.810647 1.00
834295 sid212 0.002455 0.813102 1.00
837595 sid213 0.003300 0.816402 1.00
837971 sid214 0.000376 0.816778 1.00
839014 sid215 0.001043 0.817821 1.00
841622 sid218 0.002608 0.820429 1.00
842090 sid219 0.000468 0.820897 1.00
842442 sid220 0.000352 0.821249 1.00
844146 sid223 0.001704 0.822953 1.00
859524 sid232 0.015378 0.838331 1.00
869441 sid234 0.009917 0.848248 1.00
870268 sid235 0.000827 0.849075 1.00
871346 sid236 0.001078 0.850153 1.00
